Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Zero Speed Report,RandomForest,1,0.8731671554252199,0.991319857312723,0.9284998329435349,0.9901172280742685,8410,44259
Acceleration Multiplication,XGBoost,1,0.7126895450917797,0.8697345994643292,0.7834192345651936,0.9015045387939575,4107,44259
Constant Position Offset,XGBoost,1,0.8329818641923239,0.6802525832376579,0.7489098148265183,0.8034016601408287,8710,44259
Constant Speed Offset,XGBoost,1,0.8720618224750456,0.9129213483146067,0.8920239336883131,0.9651203734968318,8900,44259
Data Replay,XGBoost,1,0.6248907024191198,0.24522475122955506,0.3522260555281748,0.44881268334291646,8743,44259
DoS,XGBoost,1,0.8656101426307449,1.0,0.927964661909616,0.9999956883092658,8193,44259
Feigned Braking,XGBoost,1,0.6994807892004153,0.9633867276887872,0.8104921188785946,0.959727773839287,3496,44259
Position Mirroring,XGBoost,1,0.6306037059175135,0.21938032855063422,0.32551681579759334,0.4426232706564195,9618,44259
Random Position Offset,XGBoost,1,0.8707555178268251,0.9910628019323672,0.9270221418888387,0.9967479372593451,8280,44259
Random Speed Offset,XGBoost,1,0.8643594153052451,0.9580652847271861,0.9088032546050401,0.984876392968572,8394,44259
Reversed Heading,XGBoost,1,0.8687144731088763,0.9611756168359942,0.9126090950849793,0.9881450405779685,8268,44259
Sudden Constant Speed,XGBoost,1,0.45567206863679693,0.9127943984723106,0.6078846969054684,0.8740970573344773,1571,44259
Sudden Stop,XGBoost,1,0.7111232081291962,0.9946700507614213,0.8293302296053328,0.901548489179832,3940,44259
Time Delay,XGBoost,1,0.17819843342036554,0.031451612903225803,0.05346650998824912,0.18467890953393507,8680,44259
Traffic Congestion Sybil,XGBoost,1,0.957812413945035,0.8775577141415416,0.9159304269970638,0.9767846441998731,39635,83894
Zero Speed Report,XGBoost,1,0.865699481865285,0.9933412604042806,0.9251384274640089,0.99575701674449,8410,44259
Acceleration Multiplication,GRU,1,0.6696956889264581,0.7716094472851229,0.7170494399818984,0.8330238648853638,4107,44259
Constant Position Offset,GRU,1,0.8622942580726222,0.7879448909299656,0.8234447177395164,0.8805675271699339,8710,44259
Constant Speed Offset,GRU,1,0.8893016344725111,0.9414606741573034,0.9146381399410545,0.9836706115919843,8900,44259
Data Replay,GRU,1,0.8354413702239789,0.7252659270273362,0.7764648258127717,0.8579617923602475,8743,44259
DoS,GRU,1,0.8849643551523008,1.0,0.9389719786831701,0.9999600026800397,8193,44259
Feigned Braking,GRU,1,0.7187291712952677,0.9253432494279176,0.8090533950231337,0.9509568629910911,3496,44259
Position Mirroring,GRU,1,0.8050158954433062,0.4739030983572468,0.5965968586387435,0.7270184310745164,9618,44259
Random Position Offset,GRU,1,0.8841980878719519,0.9940821256038648,0.935925862755131,0.9978086141914784,8280,44259
Random Speed Offset,GRU,1,0.8796508456082924,0.9604479390040506,0.9182755282191469,0.9885782084326109,8394,44259
Reversed Heading,GRU,1,0.8762784559551303,0.9637155297532656,0.917919474684638,0.9899209050181863,8268,44259
Sudden Constant Speed,GRU,1,0.47539190667152753,0.83004455760662,0.6045433472415391,0.8416154154230199,1571,44259
Sudden Stop,GRU,1,0.7298457934803826,0.9489847715736041,0.8251130972084298,0.9232916440186542,3940,44259
Time Delay,GRU,1,0.16780045351473924,0.025576036866359446,0.04438668399480156,0.18088523428460246,8680,44259
Traffic Congestion Sybil,GRU,1,0.9616666183756846,0.8373911946511922,0.8952365539191887,0.9719458087648076,39635,83894
Zero Speed Report,GRU,1,0.8770306616460463,0.9693222354340071,0.920869810787913,0.9924029250944658,8410,44259
Acceleration Multiplication,GAT,1,0.7886140923938404,0.8229851473094716,0.8054330990110806,0.8846375850475195,4107,44259
Constant Position Offset,GAT,1,0.9176490121202059,0.6345579793340987,0.7502884680648884,0.7790179781233247,8710,44259
Constant Speed Offset,GAT,1,0.9562660786475561,0.8770786516853932,0.914962198909922,0.956407262528639,8900,44259
Data Replay,GAT,1,0.7215541165587419,0.17842845705135538,0.2861072902338377,0.44342179273635307,8743,44259
DoS,GAT,1,0.9626365879450124,1.0,0.9809626436781609,0.9999987502649081,8193,44259
Feigned Braking,GAT,1,0.8411826268969126,0.9196224256292906,0.8786553703197595,0.9498005721602161,3496,44259
Position Mirroring,GAT,1,0.7653550863723608,0.16583489290912873,0.2726029738506238,0.45573677022665554,9618,44259
Random Position Offset,GAT,1,0.9523584905660377,0.9753623188405797,0.9637231503579953,0.9924799272198455,8280,44259
Random Speed Offset,GAT,1,0.9487589088228066,0.9198236835835121,0.934067263488991,0.9715679562170151,8394,44259
Reversed Heading,GAT,1,0.9442546962673823,0.9362602805999033,0.9402404955666221,0.9776895803195786,8268,44259
Sudden Constant Speed,GAT,1,0.5600760456273765,0.9376193507320179,0.7012616043799096,0.895191758078476,1571,44259
Sudden Stop,GAT,1,0.8135694986490544,0.6878172588832487,0.7454270389217439,0.7840021078993584,3940,44259
Time Delay,GAT,1,0.16545454545454547,0.010483870967741936,0.01971830985915493,0.1886801257765413,8680,44259
Traffic Congestion Sybil,GAT,1,0.9869307128248616,0.9983600353223161,0.9926124747582435,0.999605972163237,39635,83894
Zero Speed Report,GAT,1,0.9455194655609307,0.9760998810939358,0.9605663468289258,0.9955902270071473,8410,44259
Acceleration Multiplication,RAVEN-X,1,0.7814245810055865,0.5449233016800584,0.6420886529909625,0.748384337316038,4107,44259
Constant Position Offset,RAVEN-X,1,0.9222109972579016,0.7336394948335246,0.8171877997314406,0.8529705911603652,8710,44259
Constant Speed Offset,RAVEN-X,1,0.9562389118864577,0.9084269662921348,0.9317199654278306,0.9747161038059088,8900,44259
Data Replay,RAVEN-X,1,0.9039531896674754,0.7244652865149263,0.8043174603174603,0.8702357864947375,8743,44259
DoS,RAVEN-X,1,0.958806319485079,1.0,0.9789700083642012,0.9999142833830292,8193,44259
Feigned Braking,RAVEN-X,1,0.8408275862068966,0.8718535469107551,0.8560595421991294,0.9081913800812865,3496,44259
Position Mirroring,RAVEN-X,1,0.9062826132331455,0.4514452069037222,0.6026788812547713,0.7395044472817975,9618,44259
Random Position Offset,RAVEN-X,1,0.9465962441314554,0.9740338164251208,0.9601190476190476,0.9921513593138636,8280,44259
Random Speed Offset,RAVEN-X,1,0.9457139402732438,0.9318560876816774,0.9387338733873387,0.9798424981802681,8394,44259
Reversed Heading,RAVEN-X,1,0.946604900646105,0.939163038219642,0.9428692854107219,0.9830519940098944,8268,44259
Sudden Constant Speed,RAVEN-X,1,0.6647398843930635,0.8784213876511776,0.7567863997806417,0.890574333815523,1571,44259
Sudden Stop,RAVEN-X,1,0.8214077952297848,0.716751269035533,0.7655191108701546,0.8127101203648497,3940,44259
Time Delay,RAVEN-X,1,0.10555555555555556,0.0065668202764976955,0.012364425162689804,0.18840608624810126,8680,44259
Traffic Congestion Sybil,RAVEN-X,1,0.9858965414133359,0.998259114419074,0.9920393145034914,0.999702693836678,39635,83894
Zero Speed Report,RAVEN-X,1,0.9486166007905138,0.9417360285374554,0.9451637925890566,0.9896654251691832,8410,44259
Acceleration Multiplication,RAVEN-X-GF,1,0.7614637451999097,0.8207937667397127,0.7900164049683619,0.849170127944285,4107,44259
Constant Position Offset,RAVEN-X-GF,1,0.8879884982355247,0.7800229621125143,0.8305115824216124,0.8743616798513176,8710,44259
Constant Speed Offset,RAVEN-X-GF,1,0.9210144117975645,0.9262921348314607,0.9236457341325416,0.9732256696941411,8900,44259
