Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Data Replay,RAVEN-X,1,0.901394133023526,0.709939380075489,0.7942926610787638,0.8705076610708388,8743,44259
DoS,RAVEN-X,1,0.9573498480953494,1.0,0.9782102561041132,0.9999993436283596,8193,44259
Feigned Braking,RAVEN-X,1,0.8560742070616397,0.8183638443935927,0.8367943843229014,0.8881853051675166,3496,44259
Position Mirroring,RAVEN-X,1,0.8944853673103723,0.467144936577251,0.6137558909910525,0.7363831413843169,9618,44259
Random Position Offset,RAVEN-X,1,0.948958089440412,0.9789855072463768,0.9637379621923672,0.9941639869616725,8280,44259
Random Speed Offset,RAVEN-X,1,0.9442216551221291,0.9256611865618298,0.9348493051795704,0.9771260275084278,8394,44259
Reversed Heading,RAVEN-X,1,0.9434284320897343,0.9358974358974359,0.9396478445658774,0.978744239328865,8268,44259
Sudden Constant Speed,RAVEN-X,1,0.64501953125,0.8408656906429026,0.7300359215252832,0.8752716471991234,1571,44259
Sudden Stop,RAVEN-X,1,0.8257173219978746,0.7888324873096447,0.8068535825545171,0.8788589127353421,3940,44259
Time Delay,RAVEN-X,1,0.18666666666666668,0.012903225806451613,0.02413793103448276,0.2014845037446191,8680,44259
Traffic Congestion Sybil,RAVEN-X,1,0.985698542303261,0.9929355367730541,0.9893038046278956,0.9995022192742093,39635,83894
Zero Speed Report,RAVEN-X,1,0.9555582175371347,0.9485136741973841,0.9520229144289295,0.9908557056603863,8410,44259
Acceleration Multiplication,RandomForest,2,0.7057541412380122,0.788410031653275,0.7447958596894767,0.8347886956243399,4107,44259
Constant Position Offset,RandomForest,2,0.8351833637768723,0.6824339839265212,0.7511215012320718,0.802884502607236,8710,44259
Constant Speed Offset,RandomForest,2,0.8740573152337858,0.9115730337078651,0.8924210757892421,0.9617059049196245,8900,44259
Data Replay,RandomForest,2,0.5753941055517477,0.19203934576232415,0.2879684418145957,0.3508634657711447,8743,44259
DoS,RandomForest,2,0.8700223000955718,1.0,0.9304940374787053,0.9999638064634765,8193,44259
Feigned Braking,RandomForest,2,0.6863057324840764,0.8629862700228833,0.7645717181956412,0.8813666214257904,3496,44259
Position Mirroring,RandomForest,2,0.644262791401756,0.22125181950509462,0.3293862704125068,0.4410875706985943,9618,44259
Random Position Offset,RandomForest,2,0.8749601275917065,0.993840579710145,0.9306191687871077,0.9949748251952539,8280,44259
Random Speed Offset,RandomForest,2,0.8686240891555936,0.9656897784131523,0.914588739704389,0.9804210145821871,8394,44259
Reversed Heading,RandomForest,2,0.8710135430318916,0.9645621673923561,0.9154040404040404,0.9886142757284903,8268,44259
Sudden Constant Speed,RandomForest,2,0.46002855103497503,0.8204964990451942,0.5895266407500571,0.7538195230412802,1571,44259
Sudden Stop,RandomForest,2,0.7162559764619345,0.9885786802030457,0.8306675197270207,0.9554697702078562,3940,44259
Time Delay,RandomForest,2,0.18224613315400134,0.031221198156682027,0.0533097275499164,0.1845197873287603,8680,44259
Traffic Congestion Sybil,RandomForest,2,0.9606561714512502,0.9160590387283967,0.9378277153558052,0.9816344374976919,39635,83894
Zero Speed Report,RandomForest,2,0.8735008864323704,0.9959571938168846,0.9307183732429579,0.994683213972914,8410,44259
